model,trigger_name,trigger_value,epoch,average_loss,accuracy,correct_data,total_data
global,combine,,11,12.258470906198928,0.45718108831400533,41,8968
global,global_in_41_trigger,,11,12.742617805338034,0.4348795718108831,39,8968
global,global_in_73_trigger,,11,12.696613173097719,0.44603033006244425,40,8968
global,global_in_51_trigger,,11,12.713347634069628,0.4348795718108831,39,8968
global,global_in_74_trigger,,11,12.099058562150287,0.4683318465655665,42,8968
41,41_trigger,,12,49868.845868644064,58.64183764495986,5259,8968
global,combine,,12,12.212193420165145,0.45718108831400533,41,8968
global,global_in_41_trigger,,12,12.6951639786243,0.44603033006244425,40,8968
global,global_in_73_trigger,,12,12.649160841125978,0.44603033006244425,40,8968
global,global_in_51_trigger,,12,12.665821126483573,0.4348795718108831,39,8968
global,global_in_74_trigger,,12,12.054341038032689,0.4683318465655665,42,8968
global,combine,,13,12.200092814204737,0.45718108831400533,41,8968
global,global_in_41_trigger,,13,12.6802798500027,0.4348795718108831,39,8968
global,global_in_73_trigger,,13,12.63464211779551,0.44603033006244425,40,8968
global,global_in_51_trigger,,13,12.651182397575276,0.4348795718108831,39,8968
global,global_in_74_trigger,,13,12.042464252032945,0.4683318465655665,42,8968
73,73_trigger,,14,0.0,100.0,8968,8968
global,combine,,14,12.186306886222084,0.45718108831400533,41,8968
global,global_in_41_trigger,,14,12.664363251106746,0.4348795718108831,39,8968
global,global_in_73_trigger,,14,12.618146478651253,0.44603033006244425,40,8968
global,global_in_51_trigger,,14,12.63536518838765,0.4348795718108831,39,8968
global,global_in_74_trigger,,14,12.029387471507853,0.4683318465655665,42,8968
global,combine,,15,12.14283933052519,0.45718108831400533,41,8968
global,global_in_41_trigger,,15,12.6207444814568,0.4348795718108831,39,8968
global,global_in_73_trigger,,15,12.57453185293315,0.44603033006244425,40,8968
global,global_in_51_trigger,,15,12.591579624417633,0.4348795718108831,39,8968
global,global_in_74_trigger,,15,11.986368440497039,0.4683318465655665,42,8968
51,51_trigger,,16,0.0,100.0,8968,8968
global,combine,,16,12.10101423169969,0.45718108831400533,41,8968
global,global_in_41_trigger,,16,12.579244548991575,0.4348795718108831,39,8968
global,global_in_73_trigger,,16,12.532886242249733,0.44603033006244425,40,8968
global,global_in_51_trigger,,16,12.549267353701017,0.4348795718108831,39,8968
global,global_in_74_trigger,,16,11.946738499174364,0.47948260481712757,43,8968
74,74_trigger,,17,7.942734036033011,2.52007136485281,226,8968
global,combine,,17,12.070242361124874,0.4683318465655665,42,8968
global,global_in_41_trigger,,17,12.548388552601905,0.44603033006244425,40,8968
global,global_in_73_trigger,,17,12.501983853560489,0.44603033006244425,40,8968
global,global_in_51_trigger,,17,12.518342268243632,0.4348795718108831,39,8968
global,global_in_74_trigger,,17,11.916471629351191,0.47948260481712757,43,8968
74,74_trigger,,18,0.0,100.0,8968,8968
41,41_trigger,,18,10.602266224019768,1.3046387154326493,117,8968
global,combine,,18,12.048451496808259,0.4683318465655665,42,8968
global,global_in_41_trigger,,18,12.540555904636843,0.45718108831400533,41,8968
global,global_in_73_trigger,,18,12.49335651925161,0.45718108831400533,41,8968
global,global_in_51_trigger,,18,12.508523381256186,0.45718108831400533,41,8968
global,global_in_74_trigger,,18,11.894140464721461,0.47948260481712757,43,8968
global,combine,,19,12.035863655151585,0.4683318465655665,42,8968
global,global_in_41_trigger,,19,12.527090352523762,0.44603033006244425,40,8968
