model,epoch,average_loss,accuracy,correct_data,total_data
global,11,12.258470906198928,0.45718108831400533,41,8968
41,12,0.8104619621486137,68.15343443354148,6112,8968
41,12,48566.35069134701,58.909455842997325,5283,8968
global,12,12.212193420165145,0.45718108831400533,41,8968
global,13,12.200092814204737,0.45718108831400533,41,8968
73,14,0.962774542907218,53.1556645851918,4767,8968
73,14,0.0,100.0,8968,8968
global,14,12.186306886222084,0.45718108831400533,41,8968
global,15,12.14283933052519,0.45718108831400533,41,8968
51,16,0.8116536039948783,56.355932203389834,5054,8968
51,16,0.0,100.0,8968,8968
global,16,12.10101423169969,0.45718108831400533,41,8968
global,17,12.070242361124874,0.4683318465655665,42,8968
74,18,0.1492643357918371,93.40990187332739,8377,8968
74,18,0.0,100.0,8968,8968
global,18,12.048451496808259,0.4683318465655665,42,8968
global,19,12.035863655151585,0.4683318465655665,42,8968
global,20,12.004527918043996,0.4683318465655665,42,8968
global,21,11.985645455829168,0.4683318465655665,42,8968
global,22,11.957368179477823,0.4683318465655665,42,8968
global,23,11.943687801378099,0.45718108831400533,41,8968
global,24,11.930086732229732,0.45718108831400533,41,8968
global,25,11.901713789838643,0.45718108831400533,41,8968
global,26,11.854050379369431,0.45718108831400533,41,8968
global,27,11.819733719225976,0.44603033006244425,40,8968
global,28,11.792555066329044,0.45718108831400533,41,8968
global,29,11.76475031731067,0.4683318465655665,42,8968
global,30,11.750398473373808,0.45718108831400533,41,8968
global,31,11.752153559947631,0.45718108831400533,41,8968
global,32,11.754164736575042,0.45718108831400533,41,8968
global,33,11.746483555231427,0.4683318465655665,42,8968
global,34,11.716951270703223,0.4683318465655665,42,8968
global,35,11.680770089645454,0.4683318465655665,42,8968
global,36,11.675177544381977,0.44603033006244425,40,8968
global,37,11.644064812230596,0.45718108831400533,41,8968
global,38,11.659123359462388,0.44603033006244425,40,8968
global,39,11.622519592639062,0.44603033006244425,40,8968
global,40,11.599132769241809,0.45718108831400533,41,8968
global,41,11.586198075130303,0.44603033006244425,40,8968
global,42,11.548975802446241,0.45718108831400533,41,8968
global,43,11.535159339020021,0.423728813559322,38,8968
global,44,11.523604123322269,0.423728813559322,38,8968
global,45,11.497192685674282,0.412578055307761,37,8968
global,46,11.493529509477165,0.40142729705619984,36,8968
global,47,11.467678854446342,0.423728813559322,38,8968
global,48,11.429499051913313,0.412578055307761,37,8968
global,49,11.417585503087311,0.412578055307761,37,8968
global,50,11.400513523077986,0.40142729705619984,36,8968
global,51,11.376395874635968,0.40142729705619984,36,8968
global,52,11.372483278150328,0.40142729705619984,36,8968
global,53,11.359885169819568,0.40142729705619984,36,8968
global,54,11.349270680246345,0.40142729705619984,36,8968
global,55,11.326612700531252,0.412578055307761,37,8968
global,56,11.263407464754783,0.423728813559322,38,8968
global,57,11.275758812195695,0.423728813559322,38,8968
global,58,11.264968843996046,0.412578055307761,37,8968
global,59,11.255366914087274,0.412578055307761,37,8968
global,60,11.253006317485772,0.412578055307761,37,8968
global,61,11.258020819562764,0.412578055307761,37,8968
global,62,11.260408369161315,0.412578055307761,37,8968
global,63,11.259937524582849,0.412578055307761,37,8968
global,64,11.251268599524655,0.412578055307761,37,8968
global,65,11.252022771299364,0.412578055307761,37,8968
global,66,11.255782264348762,0.412578055307761,37,8968
global,67,11.240851005840046,0.412578055307761,37,8968
global,68,11.236686104222349,0.423728813559322,38,8968
global,69,11.221896127331586,0.423728813559322,38,8968
global,70,11.224451322836284,0.423728813559322,38,8968
